iter	Passed	Remaining
0	645	12273
1	1335	12020
2	2085	11820
3	2885	11540
4	3728	11185
5	4678	10915
6	5621	10439
7	6471	9707
8	7378	9018
9	8219	8219
10	9107	7451
11	9963	6642
12	10714	5769
13	11535	4943
14	12261	4087
15	13089	3272
16	13876	2448
17	14736	1637
18	15438	812
19	16238	0
